,title,session-type,themes,categories,gender
Sarah Battersby,All Over the Map! Level Up your Spatial Vizzes,Session,Data and Analytics Skills,No categories,female
Ashwin Kumar,A Beginner's Guide to Maps,Session,Data and Analytics Skills,No categories,unknown
Eric Freeman,Just a Dash of Inspiration: Effective Visual Design,Hands-on Training,Dashboard and Design,No categories,male
Maddie Rawding,Just a Dash of Inspiration: Effective Visual Design,Hands-on Training,Dashboard and Design,No categories,female
Zach Ahrens,Agility and Deployment Best Practices,Session,Data Culture,No categories,male
Sanjeev Verma,Centralized Row-Level Security,Session,Data Management,No categories,male
Miranda Osterheld,Tableau Hacks: Use Tableau Server to Fit Your Workflow,Session,Data Culture,No categories,female
Ann Jackson,Zen Master: Tableau Speed Tipping,Session,Data and Analytics Skills,No categories,female
Lorna Eden,Zen Master: Tableau Speed Tipping,Session,Data and Analytics Skills,No categories,female
Priyatham  Pamu,"Understanding Tableau Queries, Techniques and Tools to Use",Session,Data Management,No categories,unknown
Lingyan Yin,"Understanding Tableau Queries, Techniques and Tools to Use",Session,Data Management,No categories,unknown
Charles Severn,Brown Advisory:  Journey to the Cloud: Building an Analytics Program with Tableau and Snowflake,Session,Data Management & Data Culture,No categories,male
Scott  Smith,Seeing and Understanding Your AWS Journey with Tableau,Session,Tableau at Scale,No categories,male
Noel Carter,"Build Your First Tableau Extension, Part 2",Hands-on Training,Embedded Analytics & Tableau Community,No categories,male
Bryan Medeiros,"Build Your First Tableau Extension, Part 2",Hands-on Training,Embedded Analytics & Tableau Community,No categories,male
Maximilian Osenberg,Performance Best Practices for Hyper Extracts,Session,Data Management,No categories,male
Jonas Eckhardt,Hyper API: Using Hyper for Turbocharged Extract Creation,Session,Smart Analytics & Embedded Analytics,No categories,male
N,Visual Analytics: Theory and Best Practices,Training Workshop,Data and Analytics Skills & Dashboard and Design,No categories,unknown
o,Visual Analytics: Theory and Best Practices,Training Workshop,Data and Analytics Skills & Dashboard and Design,No categories,unknown
 ,Visual Analytics: Theory and Best Practices,Training Workshop,Data and Analytics Skills & Dashboard and Design,No categories,unknown
s,Visual Analytics: Theory and Best Practices,Training Workshop,Data and Analytics Skills & Dashboard and Design,No categories,unknown
p,Visual Analytics: Theory and Best Practices,Training Workshop,Data and Analytics Skills & Dashboard and Design,No categories,unknown
e,Visual Analytics: Theory and Best Practices,Training Workshop,Data and Analytics Skills & Dashboard and Design,No categories,unknown
a,Visual Analytics: Theory and Best Practices,Training Workshop,Data and Analytics Skills & Dashboard and Design,No categories,unknown
k,Visual Analytics: Theory and Best Practices,Training Workshop,Data and Analytics Skills & Dashboard and Design,No categories,unknown
r,Visual Analytics: Theory and Best Practices,Training Workshop,Data and Analytics Skills & Dashboard and Design,No categories,unknown
Anna Lee,"Five Steps to Fabulous Dashboards: Tips and Tricks, Part 1",Session,Dashboard and Design,No categories,female
Steve Dennett,NetJets: Taking Flight with Dashboard Scoring. Our Journey to Build Better Dashboards,Session,Dashboard and Design & Data Culture,No categories,male
Timo Tautenhahn,Drag & Drop Analytics is Too Complicated for your Customers?,Session,Embedded Analytics & Tableau Community,No categories,male
Jackson Huang,Drag & Drop Analytics is Too Complicated for your Customers?,Session,Embedded Analytics & Tableau Community,No categories,male
Adrian  Fivaz,Tableau Viz Games Made Easy and Awesome!,Session,Tableau Community & Data Culture,No categories,male
Dave Ward,Tableau Viz Games Made Easy and Awesome!,Session,Tableau Community & Data Culture,No categories,male
Simon Beaumont,Zen Master: 50 Reasons your Organization Should Have a Center of Excellence,Session,Data Culture,No categories,male
Emma Whyte,Zen Master: 50 Reasons your Organization Should Have a Center of Excellence,Session,Data Culture,No categories,female
Brian Carver,Raise the Bar with the Latest Dashboard Objects,Session,Dashboard and Design,No categories,male
Wenyan Zhou,Raise the Bar with the Latest Dashboard Objects,Session,Dashboard and Design,No categories,unknown
Adiáscar Cisneros,Tableau Server on AWS: Tips and Tricks,Session,Tableau at Scale,No categories,unknown
Danny Wasserman,Tableau Licensing Made Easy (for Tableau Partners only),Session,Tableau at Scale,Sales,male
Michael Widell,Compete to Win (for Tableau Partners only),Session,Data Culture & Tableau at Scale,Sales,male
Arlo Paranhos,Next Gen Analytics with Tableau in Google Cloud Platform,Session,Tableau at Scale,No categories,male
Wilson Po,Vroom Vroom! Performance Tuning Your Dashboards,Hands-on Training,Dashboard and Design,No categories,male
